listing_id,name,city,latitude,longitude,price,room_type,accommodates
35938,Cosy Room in Istanbul Center,Istanbul,41.04913,28.99666,557,Private room,2
36223,da nonna maria b&b near center,Rome,41.90896,12.51953,39,Private room,4
36267,Titon FaubourgSaint-AntoineBastille,Paris,48.85145,2.38703,110,Entire place,5
36347,"Cosy, Downtown Loft with Mountain Views over Rooftop Deck",Cape Town,-33.92456,18.42238,614,Entire place,2
36442,Great location. Spacious 2BR near PROSPECT PARK,New York,40.67447,-73.96619,121,Entire place,4
36458,Malls*BTS:E10>350m*WiFi*Clean*Flexible*Foods*Safe,Bangkok,13.69952,100.60195,518,Entire place,3
36483,"Stylish Studio With Kitchenette,Pool,Parking &Wifi",Cape Town,-33.8212,18.48323,550,Private room,2
36485,Stunning Studio Close To The Beach Cape Town,Cape Town,-33.81849,18.48452,550,Private room,2
36490,Low budget in a residential area,Paris,48.83731,2.40396,32,Private room,2
36499,Lovely Garden Cottage Close To The Beach Cape Town,Cape Town,-33.81933,18.48403,550,Entire place,2
36586,Charming sunny 1BR Buttes Chaumont,Paris,48.88047,2.39408,53,Entire place,1
36647,Private Bdrm/Bathrm. New! Elevator!,New York,40.79295,-73.93997,59,Private room,2
36703,"Sunny, clean 1 bdrm in W. Village",New York,40.73226,-74.00401,200,Entire place,2
36868,Great family size apt near park !,Paris,48.88257,2.38782,1800,Entire place,4
37054,Anna Home at Roman Forum,Rome,41.89484,12.48758,72,Entire place,2
37305,Casa Pariolina - Suite The Romantic,Rome,41.92293,12.48844,88,Private room,2
37307,Casa Pariolina-Suite Villa Borghese,Rome,41.923,12.48781,88,Entire place,3
38650,Bastille/10m2 Ã  la Roquette,Paris,48.85371,2.37672,45,Entire place,2
38663,Luxury Brownstone in Boerum Hill,New York,40.68559,-73.98094,650,Entire place,13
38871,"Special promotion for ""Stylish and convenient""",Paris,48.83344,2.34601,80,Entire place,4
39267,CENTRAL PARK LOFT all for YOU,New York,40.77456,-73.95323,99,Entire place,4
39282,â€œWork-from-homeâ€ from OUR home.,New York,40.71088,-73.95055,50,Private room,2
39572,1 br in a 2 br apt (Midtown West),New York,40.76233,-73.98854,139,Private room,2
39586,Big room w/private bathroom and great Hudson view,New York,40.77953,-73.98829,92,Private room,2
39593,A room of own with a Manhattan view,New York,40.74559,-73.92313,73,Private room,1
39651,Charming Studio close to Bastille,Paris,48.8493,2.39022,59,Entire place,2
39666,Paris 5 Star Luxury Ile Saint-Louis #7510404177410,Paris,48.85172,2.35504,659,Entire place,2
39704,"Private, Large & Sunny 1BR w/W&D",New York,40.68306,-73.94659,135,Entire place,4
39948,COSY INDEPENDENT ROOM IN CENTRAL PARIS,Paris,48.87064,2.3451,85,Entire place,2
40143,Stylish & Design 1BR flat- Voltaire Bastille,Paris,48.85672,2.37771,139,Entire place,4
40174,"Great, central Paris rental!",Paris,48.85362,2.36336,87,Entire place,2
40775,Great Flat to Rent in Paris Center,Paris,48.86375,2.37586,85,Entire place,5
40899,Lovely flat Canal Saint Martin,Paris,48.87549,2.37224,34,Entire place,2
40911,The White & Cosy Flat,Paris,48.88787,2.31093,105,Entire place,4
41077,Bed&Breakfast The Welcoming Dragon,Paris,48.82515,2.3627,99,Hotel room,2
41106,"STYLE&COMFORT@LE MARAIS, what else?",Paris,48.85768,2.35545,120,Entire place,3
41198,"Modern 2bed,Top end of Copacabana",Rio de Janeiro,-22.97962,-43.1923,484,Entire place,5
41745,Charmant loft en duplex au calme da,Paris,48.8693,2.37163,79,Entire place,2
41753,Ã–rÃ¼cÃ¼ Palace / Princess Apartment,Istanbul,41.02725,28.97718,529,Entire place,5
42300,Beautiful Lower East Side Loft,New York,40.71824,-73.99315,450,Entire place,4
42348,tres beau studio Ã  tres bon PRIX,Paris,48.8783,2.33966,54,Entire place,2
42507,"Calm, Renovated, Equipped, on the Canal & Metro",Paris,48.88868,2.37544,78,Entire place,4
42729,House On Henry (2nd FLR Suite),New York,40.67854,-74.00284,125,Entire place,2
42829,*COLOSEUM Front* Opera Theater Apt*,Rome,41.90071,12.49646,78,Entire place,7
42882,New York room with a view,New York,40.64633,-74.08156,70,Private room,2
43027,Montmartre by foot ! Beautiful & cosy 70m2,Paris,48.88747,2.32604,150,Entire place,4
43355,STUDIO REPUBLIQUE  CANAL  ST MARTIN,Paris,48.86965,2.36719,60,Entire place,2
43726,"Apartment in Tribeca, NYC Panoramic VIEWS~",New York,40.71915,-74.01017,250,Entire place,6
43912,Beautiful countryside villa - Rome,Rome,42.05602,12.48512,65,Entire place,4
44123,Le Marais - L'Ã®le St-Louis,Paris,48.85329,2.35978,162,Entire place,6
44198,Paris's Heart Peaceful Duplex 43m2,Paris,48.87135,2.35705,89,Entire place,4
44229,BROOKLYN VICTORIAN STYLE SUITE.....,New York,40.69098,-73.97113,110,Private room,2
44288,CO-VID IMMUNE! Entire studio in West Village,New York,40.73756,-74.00405,170,Entire place,2
44334,Purple House on Jarvis B&B,Cape Town,-33.91405,18.41575,1614,Private room,2
44421,Beautiful Studio With A View,Istanbul,41.03089,28.98054,834,Private room,2
44429,"Cozy, central, lovely&check out the bathroom!*",Istanbul,41.03082,28.97958,314,Entire place,3
44442,In the very heart of Old Rome,Rome,41.89431,12.47246,89,Entire place,6
44545,Sunny Darlinghurst Warehouse Apartment,Sydney,-33.87888,151.21439,130,Entire place,2
44616,CONDESA HAUS  B&B,Mexico City,19.41006,-99.17645,7293,Entire place,14
45175,Appartement XIX century near Buttes,Paris,48.87564,2.38717,63,Private room,2
45542,Clean and Cozy Harlem Apartment,New York,40.82374,-73.9373,100,Entire place,4
45556,"Fort Greene, Brooklyn: Center Bedroom",New York,40.68834,-73.97578,65,Private room,2
45630,room in anice 40m2 flat/great view!,Paris,48.89078,2.3601,36,Private room,2
45661,"Very Heart of Paris, Charming",Paris,48.86843,2.3475,50,Entire place,2
45859,"Condo near Sathon, BTS & Riverside",Bangkok,13.71843,100.50781,1500,Entire place,2
45910,Beautiful Queens Brownstone! - 5BR,New York,40.70382,-73.89797,395,Entire place,16
45935,Room in Beautiful Townhouse.,New York,40.8064,-73.92395,60,Private room,1
45936,Couldn't Be Closer To Columbia Uni,New York,40.8063,-73.95985,75,Private room,2
45967,Palais Royal central 2 beds 450ft2,Paris,48.86603,2.34019,90,Entire place,4
46544,Park Slope haven 15 mins from Soho,New York,40.67994,-73.97863,150,Entire place,2
46669,Sotto il cielo di Roma B&B (Sole),Rome,41.85056,12.47259,50,Private room,3
46911,Large Room in private Brownstone in Park Slope,New York,40.67868,-73.97307,100,Private room,2
47149,A due passi da San Pietro da Simona,Rome,41.88066,12.45739,82,Private room,2
47155,Charming appartment in paris 16 Ã¨me,Paris,48.84299,2.25845,90,Entire place,3
47213,Sotto il cielo di Roma B&B (Luna),Rome,41.8522,12.47255,50,Private room,3
47264,Kurucesme stunning seaview peacfull Flat,Istanbul,41.06464,29.0358,408,Entire place,3
47377,Double Room in Taksim,Istanbul,41.03467,28.98902,371,Private room,1
47613,"BIG, COMFY ROOM W/YARD IN WILL-B",New York,40.71217,-73.94713,81,Private room,1
48305,"Beach Block 6bed Penthouse, Ipanema Best Location!",Rio de Janeiro,-22.98599,-43.20299,1751,Entire place,13
48346,Charming Apartment in Kuzguncuk,Istanbul,41.03485,29.03155,539,Entire place,4
48584,Le Marais Beautreillis Place des Vosges,Paris,48.85316,2.36302,149,Entire place,4
48592,Champs Elysees Franklin Roosevelt,Paris,48.87204,2.30966,181,Entire place,5
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,New York,40.71882,-73.98852,192,Entire place,2
48736,Condo with Chaopraya River View,Bangkok,13.68704,100.49714,1351,Private room,2
48901,Confortable 4BD 3.5BT Atlantic avenue,Rio de Janeiro,-22.96574,-43.17514,540,Entire place,8
49179,Djalma Ocean View Studio with Amazing Views #100A,Rio de Janeiro,-22.9791,-43.19008,160,Entire place,3
49206,A Due Passi Da Trastevere,Rome,41.88038,12.45725,45,Private room,3
49240,PANTHEON CHARMING ACCOMODATION,Rome,41.89738,12.476,172,Entire place,6
49332,BASTILLE CENTER LARGE 2 ROOMS 50M2,Paris,48.85538,2.37626,120,Entire place,3
49372,The Seed Condo,Bangkok,13.6249,100.41585,649,Private room,2
49955,A room with a view of Bosphorous.,Istanbul,41.01717,28.96325,449,Private room,1
50294,Beach Block Suites in Ipanema Best Location,Rio de Janeiro,-22.98584,-43.20305,782,Entire place,6
50333,Bright&Cosy Penthouse Overlooking St. Peter's Dome,Rome,41.91487,12.45485,80,Entire place,3
50385,Tiny but Special Studio apartment!,Rome,41.8877,12.52558,42,Entire place,2
50447,"Lovely Apt & Garden;  Legal; Amenities, Spotless",New York,40.66932,-73.98982,99,Entire place,3
50471,Cozy bright Loft in Trastevere,Rome,41.882,12.4673,44,Entire place,4
50677,Sunny 2rooms  in Heart  of  Marais,Paris,48.85715,2.3573,100,Entire place,2
50738,Montmartre Studio 8,Paris,48.88752,2.34536,85,Entire place,4
50759,4 Suites lake front Barra da Tijuca,Rio de Janeiro,-23.00307,-43.30911,3382,Entire place,12
