listing_id,name,city,latitude,longitude,price,room_type,accommodates
995829,2 be home Colosseo b&b ensuite,Rome,41.89116,12.50236,35,Private room,2
995864,Bed & Breakfast A Casa di Lia a Roma,Rome,41.92374,12.4669,80,Private room,2
996121,CAMPO dei FIORI STUNNING and QUIET,Rome,41.89318,12.47367,161,Entire place,7
996171,"St. Germain: superb 2bdrm,",Paris,48.85354,2.33298,410,Entire place,4
996291,apartment historical center..garden!,Rome,41.88497,12.46912,60,Entire place,7
996602,Praia de Copacabana,Rio de Janeiro,-22.97078,-43.18992,141,Entire place,4
996981,Leblon Courtyard 1 Bedroom,Rio de Janeiro,-22.98328,-43.2266,813,Entire place,4
997247,NEW! HISTORIC BUILDING -BEST STREET,Mexico City,19.41612,-99.16015,1283,Entire place,4
997388,Serene 1 Br Apt.Near BTS Udomsuk,Bangkok,13.67332,100.60939,1079,Entire place,2
997404,Charming Apt. In Brooklyn Townhouse,New York,40.68364,-73.92638,145,Entire place,4
997432,Bed & Dinner,Rio de Janeiro,-22.92408,-43.54172,197,Private room,2
997861,Charmful flat in central Paris,Paris,48.87178,2.3606,65,Entire place,2
997867,Nice and Cute Studio in Montmartre,Paris,48.89142,2.34178,45,Entire place,2
998048,Large and nice room in magic Trastevere,Rome,41.88925,12.47108,76,Private room,3
998086,Gorgeous loft in Tribeca/SoHo!,New York,40.71866,-74.00285,110,Entire place,2
998427,TRASTEVERE HEART OF ROME- WIFI FREE!,Rome,41.8903,12.46801,48,Entire place,4
999123,zen style apartment in Central,Hong Kong,22.28455,114.15527,5243,Entire place,2
999231,Copacabana  Modern apartament with WIFI,Rio de Janeiro,-22.96907,-43.18664,297,Entire place,2
999503,Private Self Contained Studio in Forestville,Sydney,-33.76129,151.2044,87,Private room,2
999661,LE MARAIS  L ILE SAINT LOUIS,Paris,48.85337,2.36085,215,Entire place,6
999748,Sunny apartment awesome views!,Sydney,-33.89121,151.25297,75,Private room,1
999977,Cozy studio apartment on upperwest,New York,40.77896,-73.97849,195,Entire place,2
999984,Greenwich Village Townhouse Apt,New York,40.73303,-74.00237,300,Entire place,3
1000039,Stunning Apartment on Spanish Steps,Rome,41.90461,12.48283,200,Entire place,4
1000224,Saint Germain des Pres Apartment,Paris,48.8571,2.33684,200,Entire place,2
1000327,Rome St. Peter,Rome,41.87772,12.44889,77,Entire place,6
1000788,Modern Lux 1 br near 2/3/4/5 Trains,New York,40.67319,-73.95987,120,Entire place,2
1001147,Big Room with Bath in Bushwick!,New York,40.68923,-73.91946,55,Private room,2
1001178,Lovely Double Room & fast WiFi,Rome,41.78817,12.44388,38,Private room,3
1001315,Bronte Delight - Superb Location,Sydney,-33.9012,151.26309,650,Entire place,6
1001426,Great room in LEBLON,Rio de Janeiro,-22.98436,-43.22688,106,Private room,2
1001920,GlenBeach Villa - Home in Simon's Town Cape Town,Cape Town,-34.15805,18.43185,1462,Entire place,6
1002034,Penthouse with a view on the Vatican Museums,Rome,41.90794,12.45391,56,Entire place,3
1002042,Quartier Latin Elegant parisian Apt,Paris,48.84804,2.35307,280,Entire place,4
1002060,Harbour Lights-Simon's Town,Cape Town,-34.19545,18.44126,1655,Entire place,6
1002079,B&B - Center of Rome - Termini,Rome,41.90801,12.49627,22,Private room,2
1002081,"Beautiful apartment, lively area",Paris,48.83812,2.35093,300,Entire place,10
1002192,"Chic and design 75m2 3 rooms, Opera",Paris,48.87253,2.33517,150,Entire place,6
1002247,Vacation Home by the Ocean at Bronte Beach,Sydney,-33.90512,151.26691,220,Entire place,4
1002341,A designer's apartment - charming,Paris,48.87113,2.37433,200,Entire place,4
1002368,"big house,private yard in Paris 19",Paris,48.87677,2.39302,350,Entire place,11
1002658,Studio Bastille Marais,Paris,48.85297,2.36956,75,Entire place,2
1002666,otimo Quarto em Santa Teresa - RJ,Rio de Janeiro,-22.91744,-43.18964,198,Private room,1
1002703,In the shadow of the Paris Vineyard,Paris,48.8903,2.34388,110,Entire place,5
1002732,Paris Flat charme 2 r,Paris,48.8389,2.39825,80,Entire place,2
1002762,Suite temporada,Rio de Janeiro,-22.93202,-43.24062,199,Private room,1
1002897,New Aprtment near Vatican view Dome,Rome,41.89547,12.44948,155,Entire place,9
1002919,Sunny apartment Metro A free Wi-fi,Rome,41.86574,12.52649,65,Entire place,3
1003046,Via dei Coronari 28 Apartment,Rome,41.90019,12.46969,93,Entire place,6
1003392,Loft in Vatican with big Terrace,Rome,41.8983,12.44949,76,Entire place,4
1003754,Chic  Park Slope Pied-Ã -terre,New York,40.66162,-73.97994,195,Entire place,2
1004844,"Ianus Home, Rome Vatican - WiFi",Rome,41.90706,12.44367,70,Entire place,4
1004855,"2 Bed apt, close to Camps Bay beach with a garage",Cape Town,-33.96331,18.37749,1486,Entire place,3
1005105,Charming Cottage hill nearby Rome,Rome,41.79866,12.6453,55,Entire place,4
1005168,"Sea view Villa in Secure Gated  Estate ,Cape Town",Cape Town,-34.01217,18.35776,5500,Entire place,8
1005187,St.Peter's bedroom near Vaticano !,Rome,41.89675,12.44079,60,Private room,2
1005600,Amazing Space Heart of Paris!,Paris,48.87325,2.3194,150,Entire place,3
1005675,Paris & Versailles all in one!,Paris,48.83005,2.33356,60,Private room,3
1005684,charming little duplex,Paris,48.85118,2.35576,160,Entire place,4
1005786,"Charming house, 700 sq feet flat",Paris,48.85263,2.26572,149,Entire place,5
1005894,Furnished room in Bangkok Thailand,Bangkok,13.82941,100.57065,800,Private room,2
1006448,Diana's Holiday Home in Rome,Rome,41.909,12.44514,90,Entire place,4
1006867,"Pink Suite in luxurious Vila in Santa Teresa, Rio",Rio de Janeiro,-22.92063,-43.18768,432,Private room,2
1006879,Studio Panorama  Rome perfectplace old city center,Rome,41.89316,12.47496,50,Entire place,2
1007174,Private en suite in City house,Mexico City,19.43817,-99.15466,826,Private room,2
1007227,GREAT APARTMENT IN BARRA DA TIJUCA,Rio de Janeiro,-23.00905,-43.29837,464,Private room,1
1007684,Nice room in Caine Road,Hong Kong,22.24216,114.18914,300,Private room,2
1007711,Serviced & Furnished Apartment 10 in Taksim,Istanbul,41.04572,28.98486,260,Entire place,4
1007766,Budget Flat 2 in the Center of Istanbul,Istanbul,41.04513,28.98395,188,Entire place,4
1007850,Afribode's Alexander Loft,Cape Town,-33.92368,18.42208,977,Entire place,2
1007871,"Garden apartment w pool, close to city & beaches",Sydney,-33.9074,151.21968,123,Private room,4
1007981,B&B 4th Floor -100 mt to St Peter's,Rome,41.90463,12.46183,60,Private room,2
1008155,Beautiful 2 bed apt.in trastevere.,Rome,41.89195,12.46848,205,Entire place,4
1008307,Rooftop refined flat for couple,Paris,48.85763,2.37789,117,Entire place,2
1008382,weekly/monthly rental room in sisli,Istanbul,41.06566,28.97405,699,Private room,1
1008383,Comfortable and cosy appartment,Paris,48.858,2.27494,213,Entire place,5
1008537,3 rooms between Ipanema and Copacabana,Rio de Janeiro,-22.98382,-43.19185,550,Entire place,7
1008590,9 bed mixed dorm ( shared bathroom),Hong Kong,22.29796,114.17181,191,Shared room,1
1008724,Nice apartment rent paris center,Paris,48.85294,2.37971,145,Entire place,4
1008740,Charming Apt.  2 bedrooms Bastille,Paris,48.85086,2.3752,125,Entire place,3
1008831,Rio de Janeiro / Carioca-tourism,Rio de Janeiro,-22.87939,-43.35829,522,Entire place,4
1008848,Studio Apartment with Balcony I,Rome,41.9094,12.43471,62,Entire place,2
1008928,"DIAMOND, BEYOGLU-PERA, GOLDEN HORN",Istanbul,41.02826,28.97195,229,Entire place,4
1009094,"Aquarius Inn, Maison de Charme, S1",Rome,41.90388,12.49862,62,Hotel room,2
1009483,"Nice 430 sq ft, 12' from Montmartre",Paris,48.89137,2.36008,50,Entire place,2
1009883,"Modern, Carroll Garden Townhouse",New York,40.68204,-73.99249,268,Entire place,4
1009963,"Charming apartment,Heart of Bangkok",Bangkok,13.71355,100.59603,1010,Entire place,2
1009973,Brooklyn Wildlife Loft Mckibbin st,New York,40.70607,-73.935,70,Private room,4
1010134,Apartment in bright at Montmartre,Paris,48.88608,2.3452,180,Entire place,6
1010574,Lovely flat for 2-4 pers in lively neighbourhood,Paris,48.86587,2.38193,130,Entire place,4
1010761,ipa vis 502,Rio de Janeiro,-22.98516,-43.19944,1615,Entire place,6
1010785,Astoria awesome balcony apartment W Parking!!,New York,40.76295,-73.92652,145,Entire place,2
1010814,45mÂ²confort++quiet++Bastille/Marais,Paris,48.85877,2.37564,75,Entire place,4
1010858,Charming flat at the heart of Paris (Marais),Paris,48.87139,2.3417,150,Entire place,2
1011203,I rent rooms to tourists,Rio de Janeiro,-22.98644,-43.43282,150,Shared room,6
1011408,Wonderful room in St Peter(Gregory),Rome,41.89671,12.45128,59,Private room,3
1011428,PLAZA DEL ARCÃNGEL EN SAN ÃNGEL,Mexico City,19.34377,-99.19288,6401,Entire place,6
1011440,Room Flavio with private bathroom & balcony,Rome,41.8981,12.45091,59,Private room,2
1011441,"Modern apartment, Montmartre",Paris,48.8864,2.33514,160,Entire place,4
1011516,Beautiful quiet sunny!!,Rio de Janeiro,-22.93205,-43.18908,63,Entire place,2
1011850,"Girls Only Affordable, Expat&Erasmus&Traveller",Istanbul,41.05108,28.98714,74,Private room,1
1012156,suite santa clara,Rio de Janeiro,-22.96848,-43.19036,436,Private room,2
1012524,Welcome in the heart of Paris,Paris,48.85973,2.37766,70,Entire place,2
1012627,Afribode's Acacia Place,Cape Town,-33.92439,18.42294,977,Entire place,2
1012685,"TREVI Fountain ""Suite Louis House""",Rome,41.90781,12.49813,120,Entire place,7
1012712,Afribode's Afrinest,Cape Town,-33.92479,18.42163,1041,Entire place,4
1012930,"Charming quiet backyard house, 10th",Paris,48.8771,2.35405,99,Entire place,2
1012959,Paris Montmartre Abbesses apartment,Paris,48.88557,2.33674,149,Entire place,4
1013146,Gorgeous and comfortable home with warm family,Cape Town,-33.99796,18.46698,330,Private room,1
